sampleId,ParticipantId,collectionEnd,Days,Latitude,Longitude,melanogaster,simulans,suzukii,busckii,testacea,hydei,mercatorum,repleta,funebris,immigrans,phalerata,subobscura,virilis
VCFC_063,VCF24A054,24/07/2024,205,48.238611,16.38297,41,0,0,0,0,1,30,0,1,0,0,0,0
VCFC_064,VCF24A132,23/07/2024,204,48.1938088,16.3432726,0,0,0,0,0,0,2003,0,0,0,0,0,0
VCFC_065,VCF24A085,25/07/2024,206,48.2236766,16.3742674,20,0,0,0,0,2,4,0,0,0,0,0,0
VCFC_066,VCF24A129,25/07/2024,206,48.2217373,16.3723924,11,0,0,0,0,0,25,0,1,0,0,0,0
VCFC_067,VCF24A061,26/07/2024,207,48.262432,16.427556,0,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_068,VCF24A001,26/07/2024,207,48.2909924,16.3305821,11,0,0,0,0,2,31,0,0,0,0,0,0
VCFC_069,VCF24A132,27/07/2024,208,48.1938088,16.3432726,17,0,0,0,0,0,7,0,1,0,0,0,0
VCFC_071,VCF24A022,28/07/2024,209,48.211826,16.392461,0,0,0,0,0,0,11,0,0,0,0,0,0
VCFC_072,VCF24A141,28/07/2024,209,48.215696,16.389651,1,0,0,0,0,0,19,0,0,0,0,0,0
VCFC_073,VCF24A010,29/07/2024,210,48.1525687,16.3701174,0,0,45,0,0,1,0,0,0,2,2,0,0
VCFC_074,VCF24A010,29/07/2024,210,48.1525687,16.3701174,15,0,0,0,0,2,6,0,3,0,0,0,0
VCFC_075,VCF24A142,30/07/2024,211,48.251925,16.320591,0,0,0,0,0,0,646,0,0,0,0,0,0
VCFC_076,VCF24A142,30/07/2024,211,48.251925,16.320591,0,0,0,0,0,0,121,0,0,0,0,0,0
VCFC_078,VCF24A149,01/08/2024,213,48.165943,16.324441,0,0,0,0,0,0,3,0,0,0,0,0,0
VCFC_079,VCF24A149,01/08/2024,213,48.165943,16.324441,2,0,0,0,0,0,2,0,0,0,0,0,0
VCFC_080,VCF24A004,31/07/2024,212,48.226806,16.1649319,36,0,0,0,0,0,40,0,0,0,0,0,0
VCFC_081,VCF24A133,31/07/2024,212,48.2450494,16.3722084,0,0,0,0,0,7,21,0,0,0,0,0,0
VCFC_082,VCF24A035,24/07/2024,205,48.1564925,16.28339381,12,21,7,0,1,0,0,0,0,0,0,1,0
VCFC_083,VCF24A035,24/07/2024,205,48.1564925,16.28339381,57,0,0,0,0,8,1,0,0,0,0,0,0
VCFC_084,VCF24A035,30/07/2024,211,48.1564925,16.28339381,0,6,3,0,0,0,0,0,0,0,0,0,0
VCFC_085,VCF24A035,31/07/2024,212,48.1564925,16.28339381,52,0,0,0,0,1,4,0,0,0,0,0,0
VCFC_086,VCF24A014,31/07/2024,212,48.252675,16.338313,33,0,0,0,0,7,12,0,0,0,0,0,0
VCFC_087,VCF24A142,31/07/2024,212,48.251925,16.320591,0,0,0,0,0,0,7,0,0,0,0,0,0
VCFC_088,VCF24A144,01/08/2024,213,48.196621,16.391428,0,0,0,0,0,0,117,0,0,0,0,0,0
VCFC_089,VCF24A146,02/08/2024,214,48.202099,16.343202,25,4,0,0,0,1,7,0,1,0,0,0,0
VCFC_090,VCF24A054,04/08/2024,216,48.238611,16.38297,1,0,0,0,0,0,23,0,0,0,0,0,0
VCFC_091,VCF24A055,03/08/2024,215,48.26137,16.384091,16,9,0,0,0,1,1,0,0,0,0,0,0
VCFC_092,VCF24A150,05/08/2024,217,48.204611,16.267526,2,6,0,0,0,19,1,0,1,0,0,0,0
VCFC_093,VCF24A124,05/08/2024,217,48.1895931,16.2977181,4,0,0,0,0,0,46,0,1,0,0,0,0
VCFC_094,VCF24A084,05/08/2024,217,48.29387095,16.29527035,39,4,0,3,0,1,5,0,0,0,0,0,0
VCFC_095,VCF24A004,05/08/2024,217,48.226806,16.1649319,8,0,0,0,0,0,22,0,0,0,0,0,0
VCFC_096,VCF24A022,05/08/2024,217,48.211826,16.392461,40,0,0,0,0,0,8,0,0,0,0,0,0
VCFC_097,VCF24A149,08/08/2024,220,48.165943,16.324441,2,0,0,0,0,0,3,0,1,0,0,0,0
VCFC_098,VCF24A051,07/08/2024,219,48.2389401,16.3107359,0,2,0,0,0,0,45,0,0,0,0,0,0
VCFC_099,VCF24A141,07/08/2024,219,48.215696,16.389651,2,0,0,0,0,0,26,0,1,0,0,0,0
VCFC_100,VCF24A129,08/08/2024,220,48.2217373,16.3723924,75,0,0,0,0,1,49,0,2,0,0,0,0
VCFC_101,VCF24A133,09/08/2024,221,48.2450494,16.3722084,0,0,2,0,0,25,12,0,0,0,0,0,0
VCFC_102,VCF24A135,09/08/2024,221,48.2520897,16.43862778,2,0,0,0,0,0,5,0,0,0,0,0,0
VCFC_103,VCF24A004,08/08/2024,220,48.226806,16.1649319,0,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_104,VCF24A035,07/08/2024,219,48.1564925,16.28339381,40,33,7,0,0,0,0,0,0,0,0,0,0
VCFC_105,VCF24A035,07/08/2024,219,48.1564925,16.28339381,36,0,0,1,0,1,5,0,0,0,0,0,0
VCFC_106,VCF24A035,11/08/2024,223,48.1564925,16.28339381,25,0,0,0,0,0,0,0,0,5,2,0,0
VCFC_107,VCF24A035,11/08/2024,223,48.1564925,16.28339381,86,2,0,0,0,2,5,0,0,0,0,0,0
VCFC_108,VCF24A001,10/08/2024,222,48.2909924,16.3305821,42,6,0,0,0,5,23,0,0,0,0,0,0
VCFC_109,VCF24A040,12/08/2024,224,48.16463525,16.29894373,24,0,0,0,0,2,1,0,0,0,0,0,0
VCFC_110,VCF24A106,12/08/2024,224,48.180312,16.387895,84,0,0,0,0,28,4,0,1,0,0,0,0
VCFC_111,VCF24A151,12/07/2024,193,48.1994451,16.3496835,8,0,0,0,0,5,330,0,1,0,0,0,0
VCFC_112,VCF24A001,12/08/2024,224,48.2909924,16.3305821,11,5,0,0,0,1,28,0,0,0,0,0,0
VCFC_114,VCF24A084,13/08/2024,225,48.29387095,16.29527035,39,0,0,0,0,1,13,0,0,0,0,0,0
VCFC_115,VCF24A067,26/07/2024,207,48.296142,16.564001,0,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_116,VCF24A067,12/08/2024,224,48.296142,16.564001,0,0,0,0,0,0,1,0,0,0,0,0,0
VCFC_117,VCF24A004,13/08/2024,225,48.226806,16.1649319,3,0,0,0,0,0,3,0,0,0,0,0,0
VCFC_118,VCF24A014,13/08/2024,225,48.252675,16.338313,0,0,0,0,0,0,3,0,0,0,0,0,0
VCFC_119,VCF24A125,01/08/2024,213,48.229845,16.354887,20,0,0,0,0,0,32,0,0,0,0,0,0
VCFC_120,VCF24A019,13/08/2024,225,48.2072188,16.37597441,0,0,0,0,0,0,6,0,0,0,0,0,0
VCFC_121,VCF24A148,12/08/2024,224,48.211029,16.377193,99,0,0,0,0,9,7,0,0,0,0,0,0
VCFC_122,VCF24A071,16/08/2024,228,48.194892,16.282509,14,0,0,0,0,3,12,0,0,0,0,0,0
VCFC_123,VCF24A149,14/08/2024,226,48.165943,16.324441,0,0,0,0,0,0,4,0,0,0,0,0,0
VCFC_124,VCF24A030,18/08/2024,230,48.1882827,16.3054565,15,0,0,0,0,4,8,0,1,0,0,0,2
VCFC_125,VCF24A084,18/08/2024,230,48.29387095,16.29527035,17,0,0,0,0,6,14,0,0,0,0,0,0
VCFC_126,VCF24A142,14/08/2024,226,48.251925,16.320591,0,0,0,0,0,1,2271,0,0,0,0,0,0
VCFC_127,VCF24A008,19/08/2024,231,48.2103138,16.3263737,20,0,0,0,0,3,14,0,2,0,0,0,6
VCFC_128,VCF24A009,18/08/2024,230,48.4338949,16.47867439,25,0,0,0,0,0,11,0,0,0,0,0,0
VCFC_129,VCF24A133,19/08/2024,231,48.2450494,16.3722084,7,0,0,0,0,1,4,0,0,0,0,0,0
VCFC_130,VCF24A056,19/08/2024,231,48.2022743,16.34718763,6,0,0,0,0,0,7,0,0,0,0,0,0
VCFC_131_1,VCF24A049,22/07/2024,203,48.22026015,16.38459645,0,0,0,0,0,0,21,0,0,0,0,0,0
VCFC_131_2,VCF24A164,22/07/2024,203,46.7132072,11.664763,46,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_131_3,VCF24A165,22/07/2024,203,48.1149444,11.5832909,0,0,0,0,0,0,1,0,0,0,0,0,0
VCFC_132,VCF24A142,20/08/2024,232,48.251925,16.320591,0,0,0,0,0,0,292,0,0,0,0,0,0
VCFC_133,VCF24A014,20/08/2024,232,48.252675,16.338313,0,0,0,0,0,5,15,0,0,0,0,0,0
VCFC_134,VCF24A084,19/08/2024,231,48.29387095,16.29527035,25,0,0,0,0,11,23,0,0,0,0,0,0
