sampleId,ParticipantId,collectionEnd,Days,Latitude,Longitude,melanogaster,simulans,suzukii,busckii,testacea,hydei,mercatorum,repleta,funebris,immigrans,phalerata,subobscura,virilis
VCFC_187,VCF24A141,11/08/2024,223,48.215696,16.389651,10,0,0,0,0,0,17,2,0,0,0,0,0
VCFC_188,VCF24A021,11/08/2024,223,48.207718,16.229537,9,3,0,1,0,1,5,0,0,0,0,0,0
VCFC_189,VCF24A014,11/09/2024,254,48.252675,16.338313,2,0,0,0,0,0,39,8,0,0,0,0,0
VCFC_192,VCF24A149,13/09/2024,256,48.165943,16.324441,0,0,0,0,0,1,2,2,0,0,0,0,0
VCFC_193,VCF24A141,11/09/2024,254,48.215696,16.389651,17,10,0,0,0,1,2,0,0,0,0,0,0
VCFC_194,VCF24A143,13/09/2024,256,46.6177207,14.0412346,2,0,0,0,0,0,49,0,0,0,0,0,0
VCFC_195,VCF24A129,13/09/2024,256,48.2217373,16.3723924,5,0,0,0,0,4,25,33,0,0,0,0,0
VCFC_196,VCF24A025,16/09/2024,259,48.255813,16.419907,693,0,0,0,0,0,3,0,0,0,0,0,0
VCFC_197,VCF24A010,16/09/2024,259,48.1525687,16.3701174,0,6,0,0,0,0,0,0,0,0,0,0,0
VCFC_198,VCF24A010,16/09/2024,259,48.1525687,16.3701174,3,0,0,0,0,0,5,1,0,0,0,0,0
VCFC_199,VCF24A146,16/09/2024,259,48.202099,16.343202,5,0,0,0,0,8,35,4,1,0,0,0,0
VCFC_200,VCF24A142,17/09/2024,260,48.251925,16.320591,0,1,0,0,0,0,15,0,0,0,0,0,0
VCFC_201,VCF24A014,17/09/2024,260,48.252675,16.338313,0,0,0,0,0,0,11,9,0,0,0,0,0
VCFC_202,VCF24A005,19/09/2024,262,48.202186,16.295935,5,0,0,0,0,0,12,14,0,0,0,0,0
VCFC_203,VCF24A025,19/09/2024,262,48.255813,16.419907,275,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_204,VCF24A001,22/09/2024,265,48.2909924,16.3305821,22,0,0,0,0,0,55,0,0,0,0,0,0
VCFC_205,VCF24A010,23/09/2024,266,48.1525687,16.3701174,4,0,0,0,0,0,1,0,0,0,0,0,0
VCFC_206,VCF24A010,23/09/2024,266,48.1525687,16.3701174,0,14,0,0,0,0,0,0,0,2,1,0,0
VCFC_207,VCF24A054,22/09/2024,265,48.238611,16.38297,2,0,0,0,0,0,19,69,0,0,0,0,0
VCFC_208,VCF24A019,20/09/2024,263,48.2072188,16.37597441,0,0,0,0,0,0,1,0,0,0,0,0,0
VCFC_209,VCF24A147,16/09/2024,259,46.6406261,13.8918321,250,16,0,0,0,6,8,0,0,1,0,0,0
VCFC_210,VCF24A005,27/09/2024,270,48.202186,16.295935,0,0,0,0,0,0,14,5,0,0,0,0,0
VCFC_211,VCF24A128,26/09/2024,269,48.207303,16.526469,1,1,0,0,0,1,0,1,0,0,0,0,0
VCFC_212,VCF24A014,25/09/2024,268,48.252675,16.338313,4,0,0,0,0,1,5,2,0,0,0,0,0
