sampleId,ParticipantId,collectionEnd,Days,Latitude,Longitude,melanogaster,simulans,suzukii,busckii,testacea,hydei,mercatorum,repleta,funebris,immigrans,phalerata,subobscura,virilis,INCAL_WindSpeedNorth_daily,INCAL_RainfallRate_daily,INCAL_GlobalRadiation_daily,INCAL_RelativeHumidity_daily,INCAL_AirPressure_daily,INCAL_WindSpeedEast_daily,INCAL_DewPointTemperature_daily,INCAL_Temperature2m_daily
VCFC_001,VCF24A001,19/06/2024,170,48.2909924,16.3305821,9,8,35,13,39,0,5,0,0,1,0,0,0,-0.0868780866265297,0.07839458114764662,253.1748057047526,70.80203272501628,101347.65729166666,0.7733960151672363,14.110444577534993,19.914762878417967
VCFC_002,VCF24A003,08/07/2024,189,48.24752,16.439,1,0,0,0,0,0,3,0,0,0,0,0,0,0.18000821247696877,0.04705433402824989,245.75399373372395,61.87661463419597,101212.36302083333,0.6431118309497833,15.32766939798991,23.533399454752605
VCFC_003,VCF24A022,17/06/2024,168,48.211826,16.392461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1599820077419281,0.16067912027756392,241.17758433024088,66.041259765625,101310.37447916667,1.1077318365375202,13.13236172993978,20.089382298787434
VCFC_004,VCF24A012,21/06/2024,172,48.176807,16.36726,4,0,0,0,0,0,11,0,2,0,0,0,0,0.28507803082466127,0.06580040591373594,240.40328013102214,65.21617101033529,101304.63958333334,1.297884974628687,13.643954213460287,20.724724769592285
VCFC_005,VCF24A022,25/06/2024,176,48.211826,16.392461,2,0,0,0,0,0,13,0,0,0,0,0,0,-0.23922522664070128,0.04269299173374748,265.1907730102539,61.473062642415364,101454.31822916666,0.22036206026872,13.683383496602376,21.774866739908855
VCFC_006,VCF24A054,23/06/2024,174,48.238611,16.38297,0,0,0,0,0,0,11,0,0,0,0,0,0,-0.5702284067869187,0.06926052903390124,254.61189727783204,64.21385396321615,101383.72760416666,0.8034764210383097,13.499131457010906,20.907514127095542
VCFC_007,VCF24M004,26/06/2024,177,48.2024576,16.3912598,47,1,0,0,0,0,4,0,1,0,0,0,0,-0.07579427858193716,0.03851861530450454,269.3755777994792,61.31008631388347,101410.5984375,0.04351099828879038,14.249648666381836,22.41634521484375
VCFC_008,VCF24M006,26/06/2024,177,48.1993004,16.3526577,0,0,0,0,0,0,6,0,0,0,0,0,0,-0.029009119669596354,0.04216636266452648,267.8343149820964,60.741678365071614,101416.28020833334,0.13980138599872588,14.2428129196167,22.568935012817384
VCFC_009,VCF24A006,24/06/2024,175,48.232858,16.290515,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.4902512828509013,0.05738205915004073,271.0734069824219,67.9870226542155,101467.97135416667,1.060456774632136,13.434206326802572,19.85952885945638
VCFC_010,VCF24M005,26/06/2024,177,48.1984457,16.363255,6,0,0,0,0,0,2,0,0,0,0,0,0,-0.03333740234375,0.044795735732198715,267.4250254313151,60.02311655680339,101416.4109375,0.11452361841996511,14.218533579508463,22.73650665283203
VCFC_011,VCF24M008,26/06/2024,177,48.2216895,16.4020354,7,0,0,0,0,0,15,0,0,0,0,0,0,-0.1258603831132253,0.04190595515968501,272.71754150390626,62.2969243367513,101402.39166666666,0.027014915148417154,14.348101043701172,22.290873718261718
VCFC_012,VCF24A054,27/06/2024,178,48.238611,16.38297,5,0,0,0,0,0,76,0,1,0,0,0,0,-0.12464564790328343,0.049822831624987886,276.8231730143229,63.17206395467122,101389.92239583333,0.09797875434160233,15.009593264261882,22.74824638366699
VCFC_013,VCF24A010,01/07/2024,182,48.1525687,16.3701174,79,0,0,0,0,0,0,0,2,0,0,0,1,-0.2758558581272761,0.05579943428359305,268.21295369466145,62.34696858723958,101343.70625,0.6542580246925354,15.6787233988444,23.58770268758138
VCFC_014,VCF24A010,01/07/2024,182,48.1525687,16.3701174,21,8,5,2,1,1,0,0,23,23,2,0,0,-0.2758558581272761,0.05579943428359305,268.21295369466145,62.34696858723958,101343.70625,0.6542580246925354,15.6787233988444,23.58770268758138
VCFC_015,VCF24A084,02/07/2024,183,48.29387095,16.29527035,1,0,0,0,0,1,2,0,0,0,0,0,0,-0.19506476720174154,0.05716639713948553,265.8051401774089,69.26536331176757,101327.190625,1.098226763556401,15.772526041666667,21.972676595052082
VCFC_016,VCF24A096,04/07/2024,185,48.179084,16.281316,0,0,0,0,0,0,29,0,0,0,0,0,0,-0.37149109741051994,0.03251262495523406,263.6114888509115,64.45557912190755,101257.9171875,1.1837315579255423,14.918099403381348,22.301984532674155
VCFC_017,VCF24A119,05/07/2024,186,48.1925638,16.3639217,1,0,0,0,0,1,16,0,0,0,0,0,0,-0.15562267551819484,0.03609542098468713,260.6044158935547,57.872476196289064,101231.86458333333,1.649885023633639,14.17101910909017,23.332424290974934
