sampleId,ParticipantId,collectionEnd,Days,Latitude,Longitude,melanogaster,simulans,suzukii,busckii,testacea,hydei,mercatorum,repleta,funebris,immigrans,phalerata,subobscura,virilis,INCAL_WindSpeedNorth_daily,INCAL_RainfallRate_daily,INCAL_GlobalRadiation_daily,INCAL_RelativeHumidity_daily,INCAL_AirPressure_daily,INCAL_WindSpeedEast_daily,INCAL_DewPointTemperature_daily,INCAL_Temperature2m_daily,Yearly_TM,Yearly_RR,Yearly_SA,Monthly_TM,Monthly_RR,Monthly_SA,Daily_TX,Daily_TN,Daily_RR,Daily_SA
VCFC_049,VCF24A106,2024-07-18,199,48.18031,16.38790,  1, 0, 0, 0, 0, 47,   4,  0, 1, 0, 0,0, 0,-0.548885238,5.504159e-02,266.37217,60.50080,101428.3, 1.167103136,16.3412177,24.988338,13.92957, 736.1318,7301576,24.618740, 20.026377,935200.2,30.817870,20.081619, 1.048715424,31773.082
VCFC_050,VCF24A010,2024-07-22,203,48.15257,16.37012, 87, 2, 0, 0, 0,  3,   5,  0, 1, 0, 0,0, 0,-1.250146945,4.824540e-02,258.63929,59.70912,101399.7, 1.494315379,16.6927942,25.558927,13.52043, 729.4509,7325177,24.163900, 21.836052,946533.1,30.963029,19.976587, 0.936989497,31630.147
VCFC_051,VCF24A010,2024-07-22,203,48.15257,16.37012, 14, 0,38, 0, 0,  2,   3,  0, 2, 1, 0,0, 0,-1.250146945,4.824540e-02,258.63929,59.70912,101399.7, 1.494315379,16.6927942,25.558927,13.52043, 729.4509,7325177,24.163900, 21.836052,946533.1,30.963029,19.976587, 0.936989497,31630.147
VCFC_052,VCF24A135,2024-07-22,203,48.25209,16.43863,  6, 0, 0, 0, 0,  0,  11,  0, 0, 0, 0,0, 0,-0.485349866,4.286015e-02,257.82273,58.95622,101378.8, 0.812165224,16.6750860,25.892834,13.73784, 723.8572,7344312,24.426716, 19.268070,936073.7,31.184224,20.338364, 0.870422385,31132.378
VCFC_053,VCF24A004,2024-07-22,203,48.22681,16.16493,  1, 0, 0, 0, 0,  0,  21,  0, 0, 0, 0,0, 0,-0.608542750,6.367182e-02,259.82912,68.57916,101443.7, 1.448713521,17.1232054,23.724570,12.19812,1046.7411,6747730,22.338758, 40.202034,920396.3,29.315113,17.783810, 1.660241114,30288.009
VCFC_054,VCF24A054,2024-07-17,198,48.23861,16.38297, 32, 0, 0, 0, 0,  0,  23,  0, 2, 0, 0,0, 0,-0.445495903,4.873264e-02,272.46180,60.73449,101371.6, 1.139347774,16.3376350,24.983482,13.93061, 754.6767,7336334,24.681007, 19.121374,916643.2,30.527727,19.900697, 1.070403435,29082.348
VCFC_055,VCF24A003,2024-07-08,189,48.24752,16.43900,  2, 0, 0, 0, 0,  0,   1,  0, 0, 0, 0,0, 0, 0.180008212,4.705433e-02,245.75399,61.87661,101212.4, 0.643111831,15.3276694,23.533399,13.73870, 721.7471,7329652,24.434134, 19.231766,935633.9,28.556880,18.480676, 0.457902947,28367.396
VCFC_056,VCF24A001,2024-07-16,197,48.29099,16.33058, 16, 0, 0, 0, 0,  5,  55,  0, 0, 1, 0,0, 0,-0.329472778,4.066148e-02,263.21602,66.50706,101315.1, 1.138108973,16.4969469,23.571616,13.11834, 870.5637,6911278,23.631407, 24.116514,932595.7,29.082511,18.470021, 1.314998858,29410.257
VCFC_057,VCF24A137,2024-07-22,203,48.22473,16.38307, 73, 0, 0, 0, 0,  1,  48,  0, 3, 0, 0,0, 0,-0.825287414,4.960221e-02,263.50891,58.46191,101400.8, 1.143740096,16.6287134,25.895322,14.17558, 744.8181,7324834,24.942074, 19.142443,920403.1,31.493452,21.091688, 0.876332220,30494.636
VCFC_058,VCF24A132,2024-07-23,204,48.19381,16.34327,  9, 0, 0, 0, 0,  0,   1,  0, 0, 0, 0,0, 0,-0.673794846,3.581355e-02,253.72349,58.55987,101403.6, 1.821576210,16.3493369,25.542247,14.19092, 786.9898,7291494,24.886936, 22.900114,924893.0,31.478132,21.393707, 0.958491758,31203.068
VCFC_059,VCF24A014,2024-07-24,205,48.25268,16.33831,  0, 0, 0, 0, 0,  3,  14,  0, 0, 1, 0,0, 0,-1.009369065,3.826225e-02,263.40715,61.65715,101402.1, 1.841971554,15.9668831,24.216885,13.25449, 864.3170,7240516,23.754753, 23.190252,913987.4,30.008143,19.919347, 1.200889362,29843.773
VCFC_060,VCF24A053,2024-07-25,206,48.10111,16.30012, 23, 0, 0, 0, 0, 17,   0,  0, 0, 1, 0,0, 0,-0.734083969,5.140200e-02,256.98323,61.46625,101366.8, 1.195814779,16.2786757,24.594789,13.20162, 713.0952,7324246,23.791027, 25.991032,970431.2,29.964572,19.424978, 1.201894343,31156.453
VCFC_061,VCF24A055,2024-07-24,205,48.26137,16.38409, 10, 1, 1, 0, 0,  1,   3,  0, 0, 0, 0,0, 0,-1.039402645,3.744920e-02,261.42704,60.13457,101382.3, 1.297141567,16.1584853,24.881626,13.79656, 777.5774,7344424,24.504843, 19.755074,921105.2,30.876906,20.688434, 1.024465724,30165.754
VCFC_062,VCF24A071,2024-07-25,206,48.19489,16.28251, 45, 0, 0, 0, 0,  2,  24,  0, 0, 0, 0,0, 0,-0.663634640,2.564564e-02,255.60712,62.30521,101378.6, 1.816748657,15.9159281,24.097613,13.24484, 849.2347,7208020,23.741964, 27.468180,941726.2,29.850760,19.273280, 1.124008384,30050.902
VCFC_063,VCF24A054,2024-07-24,205,48.23861,16.38297, 41, 0, 0, 0, 0,  1,  30,  0, 1, 0, 0,0, 0,-1.181066696,4.265104e-02,261.92887,59.23770,101383.0, 1.546961069,16.0333169,24.991147,13.93061, 754.6767,7336334,24.681007, 19.121374,916643.2,30.984316,20.909322, 0.987349960,30076.538
VCFC_064,VCF24A132,2024-07-23,204,48.19381,16.34327,  0, 0, 0, 0, 0,  0,2003,  0, 0, 0, 0,0, 0,-0.673794846,3.581355e-02,253.72349,58.55987,101403.6, 1.821576210,16.3493369,25.542247,14.19092, 786.9898,7291494,24.886936, 22.900114,924893.0,31.478132,21.393707, 0.958491758,31203.068
VCFC_065,VCF24A085,2024-07-25,206,48.22368,16.37427, 20, 0, 0, 0, 0,  2,   4,  0, 0, 0, 0,0, 0,-1.112247296,4.463912e-02,260.06710,57.60573,101373.1, 1.509703865,15.5077799,24.922240,14.29391, 754.3499,7362679,25.018032, 19.584930,918894.1,30.538652,21.174749, 0.899840407,29523.923
VCFC_066,VCF24A129,2024-07-25,206,48.22174,16.37239, 11, 0, 0, 0, 0,  0,  25,  0, 1, 0, 0,0, 0,-1.116371471,4.444008e-02,259.30214,57.48943,101374.6, 1.525495267,15.4975859,24.942722,14.37381, 755.4401,7364048,25.092325, 19.759483,919592.2,30.580238,21.282351, 0.904743830,29544.603
VCFC_067,VCF24A061,2024-07-26,207,48.26243,16.42756,  0, 0, 0, 0, 0,  0,   0,  0, 0, 0, 0,0, 0,-0.625428973,1.760728e-02,263.19306,56.65802,101367.1, 1.004144183,15.2873786,25.058204,13.78627, 736.0595,7361630,24.480534, 19.436998,933561.7,30.157234,19.937250, 0.896880460,30826.966
VCFC_068,VCF24A001,2024-07-26,207,48.29099,16.33058, 11, 0, 0, 0, 0,  2,  31,  0, 0, 0, 0,0, 0,-0.632526057,1.921126e-03,267.68324,61.08553,101407.6, 1.224945881,15.6490999,24.060544,13.11834, 870.5637,6911278,23.631407, 24.116514,932595.7,29.379152,18.932731, 1.066215292,30327.511
VCFC_069,VCF24A132,2024-07-27,208,48.19381,16.34327, 17, 0, 0, 0, 0,  0,   7,  0, 1, 0, 0,0, 0,-0.863258731,1.751377e-03,258.13805,55.50084,101427.3, 1.743823638,15.2275819,25.187742,14.19092, 786.9898,7291494,24.886936, 22.900114,924893.0,30.411189,20.529973, 0.294153968,32125.151
VCFC_071,VCF24A022,2024-07-28,209,48.21183,16.39246,  0, 0, 0, 0, 0,  0,  11,  0, 0, 0, 0,0, 0,-1.202999127,6.571229e-04,259.36190,53.93908,101483.5, 1.632091387,14.6401375,25.067611,14.27861, 738.0645,7297200,25.026831, 19.296276,927423.6,30.740336,20.860642, 0.150849971,31210.858
VCFC_072,VCF24A141,2024-07-28,209,48.21570,16.38965,  1, 0, 0, 0, 0,  0,  19,  0, 0, 0, 0,0, 0,-1.198482273,5.929788e-04,260.54809,54.03533,101482.4, 1.594206993,14.6498286,25.053424,14.23001, 738.9146,7301966,24.987045, 19.191584,924748.6,30.714444,20.788725, 0.145422911,31132.372
VCFC_073,VCF24A010,2024-07-29,210,48.15257,16.37012,  0, 0,45, 0, 0,  1,   0,  0, 0, 2, 2,0, 0,-1.930949076,2.343507e-03,259.70803,54.55227,101496.2, 1.963440028,14.1471717,24.379522,13.52043, 729.4509,7325177,24.163900, 21.836052,946533.1,30.139372,19.320976, 0.255266898,31961.911
VCFC_074,VCF24A010,2024-07-29,210,48.15257,16.37012, 15, 0, 0, 0, 0,  2,   6,  0, 3, 0, 0,0, 0,-1.930949076,2.343507e-03,259.70803,54.55227,101496.2, 1.963440028,14.1471717,24.379522,13.52043, 729.4509,7325177,24.163900, 21.836052,946533.1,30.139372,19.320976, 0.255266898,31961.911
VCFC_075,VCF24A142,2024-07-30,211,48.25192,16.32059,  0, 0, 0, 0, 0,  0, 646,  0, 0, 0, 0,0, 0,-0.889171854,1.007805e-02,269.75575,56.26357,101534.0, 1.581177708,13.7897263,23.540456,12.87590, 898.6568,7187462,23.206886, 25.219875,921449.2,28.940773,17.886089, 0.286458264,31608.427
VCFC_076,VCF24A142,2024-07-30,211,48.25192,16.32059,  0, 0, 0, 0, 0,  0, 121,  0, 0, 0, 0,0, 0,-0.889171854,1.007805e-02,269.75575,56.26357,101534.0, 1.581177708,13.7897263,23.540456,12.87590, 898.6568,7187462,23.206886, 25.219875,921449.2,28.940773,17.886089, 0.286458264,31608.427
VCFC_078,VCF24A149,2024-08-01,213,48.16594,16.32444,  0, 0, 0, 0, 0,  0,   3,  0, 0, 0, 0,0, 0,-1.130623672,2.042621e-02,251.96795,54.85086,101355.5, 1.634249796,14.0307461,24.215252,13.52439, 780.4857,7278145,24.635929, 78.083786,958156.8,30.158057,18.147284, 0.407304656,31829.318
VCFC_079,VCF24A149,2024-08-01,213,48.16594,16.32444,  2, 0, 0, 0, 0,  0,   2,  0, 0, 0, 0,0, 0,-1.130623672,2.042621e-02,251.96795,54.85086,101355.5, 1.634249796,14.0307461,24.215252,13.52439, 780.4857,7278145,24.635929, 78.083786,958156.8,30.158057,18.147284, 0.407304656,31829.318
VCFC_080,VCF24A004,2024-07-31,212,48.22681,16.16493, 36, 0, 0, 0, 0,  0,  40,  0, 0, 0, 0,0, 0,-0.852979104,4.384346e-02,264.18325,61.46268,101485.0, 1.222480906,14.3575965,22.780536,12.19812,1046.7411,6747730,22.338758, 40.202034,920396.3,28.887960,15.726175, 0.594129272,31585.288
VCFC_081,VCF24A133,2024-07-31,212,48.24505,16.37221,  0, 0, 0, 0, 0,  7,  21,  0, 0, 0, 0,0, 0,-1.025545531,1.673029e-03,264.44613,53.18373,101446.7, 0.834346845,13.6712866,24.400098,13.85212, 777.1276,7352119,24.556522, 19.762102,912168.0,30.078577,18.911287, 0.118992291,31874.050
VCFC_082,VCF24A035,2024-07-24,205,48.15649,16.28339, 12,21, 7, 0, 1,  0,   0,  0, 0, 0, 0,1, 0,-0.966615343,3.390896e-02,255.74442,62.69855,101395.2, 1.663517320,16.2753277,24.284324,13.02802, 799.6995,7245432,23.463470, 26.963356,947597.3,30.182378,19.217378, 1.405663537,31130.647
VCFC_083,VCF24A035,2024-07-24,205,48.15649,16.28339, 57, 0, 0, 0, 0,  8,   1,  0, 0, 0, 0,0, 0,-0.966615343,3.390896e-02,255.74442,62.69855,101395.2, 1.663517320,16.2753277,24.284324,13.02802, 799.6995,7245432,23.463470, 26.963356,947597.3,30.182378,19.217378, 1.405663537,31130.647
VCFC_084,VCF24A035,2024-07-30,211,48.15649,16.28339,  0, 6, 3, 0, 0,  0,   0,  0, 0, 0, 0,0, 0,-0.878455546,7.554396e-03,266.62820,56.42847,101520.6, 1.185091401,14.0558402,23.806268,13.02802, 799.6995,7245432,23.463470, 26.963356,947597.3,29.524993,17.503976, 0.506559645,32644.852
VCFC_085,VCF24A035,2024-07-31,212,48.15649,16.28339, 52, 0, 0, 0, 0,  1,   4,  0, 0, 0, 0,0, 0,-0.737799294,2.914582e-02,261.08216,55.92060,101453.2, 1.081263567,14.0673047,23.959046,13.02802, 799.6995,7245432,23.463470, 26.963356,947597.3,29.663447,17.025265, 0.458703577,33006.415
VCFC_086,VCF24A014,2024-07-31,212,48.25268,16.33831, 33, 0, 0, 0, 0,  7,  12,  0, 0, 0, 0,0, 0,-0.874753013,4.105993e-03,262.88022,54.81163,101460.4, 1.135946693,13.7165941,23.896108,13.25449, 864.3170,7240516,23.754753, 23.190252,913987.4,29.493712,18.116181, 0.191024914,31784.576
