"lat","lon","vienna_zone","n_obs","slope","intercept","r_squared","p_value"
"46.620472","14.045056","Outer_Vienna",34,0.0607639419404125,-111.851260504202,0.560057441501969,3.60289052862086e-07
"46.639347","13.888539","Outer_Vienna",34,0.0625515660809777,-115.225210084033,0.590476331394306,1.11780173899461e-07
"46.709377","11.665419","Outer_Vienna",34,0.0533078686019861,-97.2126050420165,0.536006647068037,8.61215626398374e-07
"47.835354","16.628096","Outer_Vienna",34,0.0682964094728799,-125.287394957983,0.557304685778553,3.9899015457908e-07
"48.087814","16.28126","Outer_Vienna",34,0.0621390374331549,-113.623529411764,0.496003199036095,3.34888560203944e-06
"48.105453","16.2957","Outer_Vienna",34,0.0627043544690601,-114.508403361344,0.502406794363249,2.71363554955537e-06
"48.148663","16.365427","Outer_Vienna",34,0.0651489686783801,-119.021848739495,0.50696908725078,2.33231172010844e-06
"48.153095","16.19079","Outer_Vienna",34,0.0641405653170357,-118.244537815126,0.505572739608528,2.44329512906575e-06
"48.157303","16.379385","Outer_Vienna",34,0.0643239113827348,-117.518487394958,0.508736942233829,2.1986074345827e-06
"48.159733","16.28534","Outer_Vienna",34,0.0658212375859432,-121.094957983193,0.516642818726334,1.68424719006033e-06
"48.167686","16.326164","Outer_Vienna",34,0.065072574484339,-119.106722689075,0.515402580638382,1.75663491655696e-06
"48.168377","16.299288","Outer_Vienna",34,0.0658517952635597,-120.838655462184,0.517499789669342,1.63588103735501e-06
"48.175632","16.367","Inner_Vienna",34,0.0659587471352175,-120.426890756302,0.518798188039925,1.56508736447612e-06
"48.17633","16.340122","Inner_Vienna",34,0.0648281130634069,-118.327731092436,0.509330961384685,2.15532640110541e-06
"48.17771","16.286362","Outer_Vienna",34,0.0661268143621082,-121.49075630252,0.518428362192751,1.58495207176963e-06
"48.17805","16.27292","Outer_Vienna",34,0.0653323147440792,-120.025210084033,0.513708963241677,1.86022815291187e-06
"48.18103","16.501934","Outer_Vienna",34,0.0655767761650113,-120.268907563025,0.523128651283994,1.34927048467564e-06
"48.183914","16.39441","Outer_Vienna",34,0.0659587471352175,-120.626890756302,0.520695583661219,1.46680606708623e-06
"48.18427","16.380968","Outer_Vienna",34,0.0663407181054237,-120.955462184873,0.52143216694712,1.43024300156956e-06
"48.18497","16.354084","Inner_Vienna",34,0.0655156608097783,-119.42268907563,0.517559236463397,1.63257494557312e-06
"48.186356","16.300314","Outer_Vienna",34,0.0666310160427805,-122.117647058823,0.527100060433397,1.17627704074245e-06
"48.1929","16.39494","Outer_Vienna",34,0.0653323147440793,-119.048739495798,0.520830038534902,1.46006688410032e-06
"48.193256","16.381495","Outer_Vienna",34,0.0669213139801371,-121.985714285713,0.520033504379156,1.50042049835469e-06
"48.193607","16.368052","Inner_Vienna",34,0.0660504201680669,-119.910924369747,0.516103838109519,1.71535308023326e-06
"48.19396","16.354607","Inner_Vienna",34,0.0673644003055765,-122.80756302521,0.536386165967718,8.49742586985273e-07
"48.19431","16.341162","Inner_Vienna",34,0.065087853323147,-118.481512605041,0.506910820499674,2.33684625199673e-06
"48.195","16.314274","Outer_Vienna",34,0.067028265851795,-122.71512605042,0.527660896899951,1.15360203272335e-06
"48.195686","16.287384","Outer_Vienna",34,0.0653323147440791,-119.836974789915,0.514488085905518,1.81187675132642e-06
